Route,RouteType,TicketType,Hour,Ridership,Weather,Traffic,DayType,Month,Feedback
Route_3,Tram,Daily,16,26,Sunny,1,Weekend,Feb,Ticket issue
Route_5,Bus,Monthly,7,614,Cloudy,4,Weekend,May,Delay problem
Route_4,Metro,Single,16,413,Rainy,2,Weekend,Feb,Clean train
Route_3,Bus,Monthly,16,450,Rainy,4,Weekday,May,Good service
Route_8,Tram,Daily,19,438,Rainy,1,Weekday,Jun,Crowded station
Route_4,Tram,Single,21,129,Cloudy,2,Weekday,Jul,Ticket issue
Route_1,Metro,Daily,18,628,Sunny,5,Weekend,Jul,Delay problem
Route_9,Metro,Monthly,14,482,Sunny,5,Weekend,Jan,Noisy ride
Route_1,Tram,Weekly,18,409,Rainy,5,Weekend,Apr,Noisy ride
Route_9,Tram,Single,11,91,Rainy,5,Weekend,May,Good service
Route_6,Bus,Daily,21,370,Cloudy,4,Weekday,Jan,Clean train
Route_2,Bus,Single,8,594,Sunny,5,Weekend,Feb,Late bus
Route_9,Bus,Daily,16,358,Sunny,4,Weekday,Feb,Clean train
Route_10,Metro,Single,8,662,Sunny,1,Weekend,Jan,Good service
Route_5,Metro,Single,23,496,Sunny,1,Weekday,Jul,Noisy ride
Route_7,Bus,Single,19,404,Cloudy,4,Weekend,Feb,Clean train
Route_8,Tram,Weekly,22,198,Sunny,5,Weekend,Aug,Noisy ride
Route_4,Metro,Single,21,403,Sunny,3,Weekend,Jun,Ticket issue
Route_8,Metro,Daily,21,523,Rainy,5,Weekend,Jun,Delay problem
Route_1,Tram,Daily,21,190,Cloudy,2,Weekday,Aug,Late bus
Route_10,Bus,Monthly,19,715,Sunny,3,Weekday,Jan,Ticket issue
Route_3,Tram,Monthly,6,198,Cloudy,3,Weekend,Aug,Noisy ride
Route_4,Bus,Monthly,11,391,Rainy,3,Weekday,May,Noisy ride
Route_5,Metro,Monthly,8,907,Cloudy,2,Weekday,May,Crowded station
Route_9,Metro,Weekly,16,637,Sunny,3,Weekday,Jan,Crowded station
Route_7,Bus,Weekly,17,639,Rainy,3,Weekend,Aug,Ticket issue
Route_6,Tram,Weekly,18,504,Cloudy,1,Weekday,May,Helpful staff
Route_8,Metro,Weekly,13,570,Rainy,1,Weekend,Jul,Ticket issue
Route_1,Metro,Daily,5,429,Sunny,4,Weekday,Aug,Crowded station
Route_7,Tram,Monthly,13,229,Cloudy,1,Weekend,Jul,Noisy ride
Route_5,Bus,Weekly,9,809,Sunny,5,Weekday,May,Good service
Route_5,Tram,Daily,19,400,Rainy,2,Weekday,Jun,Ticket issue
Route_2,Metro,Daily,9,721,Rainy,1,Weekday,May,Noisy ride
Route_3,Metro,Single,18,754,Rainy,4,Weekday,Jul,Good service
Route_1,Metro,Daily,22,374,Cloudy,4,Weekend,Mar,Good service
Route_2,Metro,Monthly,15,522,Sunny,5,Weekday,Apr,Crowded station
Route_2,Bus,Weekly,15,353,Cloudy,1,Weekend,Feb,Ticket issue
Route_6,Bus,Weekly,15,296,Cloudy,2,Weekend,Aug,Clean train
Route_9,Metro,Weekly,18,873,Sunny,2,Weekday,Mar,Late bus
Route_8,Bus,Weekly,14,404,Rainy,1,Weekday,May,Crowded station
Route_5,Tram,Daily,8,527,Cloudy,2,Weekday,Jun,Crowded station
Route_7,Metro,Weekly,7,810,Rainy,5,Weekday,Jan,Clean train
Route_4,Tram,Weekly,19,533,Cloudy,5,Weekday,May,Late bus
Route_9,Metro,Weekly,11,640,Rainy,1,Weekday,Jun,Noisy ride
Route_8,Metro,Daily,23,338,Rainy,4,Weekend,Apr,Helpful staff
Route_8,Metro,Daily,17,661,Sunny,2,Weekend,May,Ticket issue
Route_7,Metro,Monthly,5,665,Cloudy,3,Weekday,Jul,Helpful staff
Route_4,Tram,Monthly,15,219,Cloudy,1,Weekday,Jan,Noisy ride
Route_3,Bus,Daily,8,509,Rainy,5,Weekend,Jun,Delay problem
Route_2,Metro,Single,23,512,Cloudy,1,Weekday,Jun,Crowded station
Route_10,Bus,Single,8,539,Sunny,5,Weekend,Jun,Late bus
Route_6,Tram,Weekly,12,138,Rainy,4,Weekend,Apr,Crowded station
Route_3,Tram,Monthly,13,233,Rainy,4,Weekday,May,Good service
Route_3,Bus,Weekly,7,626,Rainy,3,Weekend,Apr,Crowded station
Route_6,Tram,Daily,13,114,Rainy,1,Weekend,Aug,Crowded station
Route_1,Bus,Daily,19,512,Rainy,5,Weekend,Feb,Noisy ride
Route_4,Tram,Daily,17,467,Sunny,4,Weekday,Feb,Noisy ride
Route_4,Tram,Weekly,17,415,Rainy,5,Weekend,Aug,Noisy ride
Route_3,Tram,Weekly,9,561,Rainy,3,Weekday,May,Helpful staff
Route_6,Bus,Single,13,364,Cloudy,2,Weekday,Jul,Good service
Route_2,Bus,Weekly,9,564,Rainy,4,Weekend,Apr,Delay problem
Route_2,Bus,Monthly,7,793,Sunny,1,Weekday,Jan,Delay problem
Route_4,Metro,Daily,13,523,Cloudy,5,Weekday,Jun,Noisy ride
Route_5,Metro,Single,19,590,Rainy,4,Weekend,Jun,Late bus
Route_2,Bus,Daily,5,282,Cloudy,4,Weekend,May,Helpful staff
Route_3,Bus,Monthly,8,551,Sunny,2,Weekend,Jul,Clean train
Route_10,Bus,Daily,9,539,Rainy,1,Weekend,Feb,Late bus
Route_8,Bus,Daily,23,407,Sunny,1,Weekday,Feb,Ticket issue
Route_6,Bus,Weekly,13,308,Sunny,5,Weekend,Jun,Ticket issue
Route_6,Metro,Single,11,448,Rainy,1,Weekend,May,Late bus
Route_4,Tram,Monthly,6,320,Cloudy,2,Weekday,Apr,Noisy ride
Route_8,Bus,Single,16,391,Sunny,4,Weekday,Feb,Clean train
Route_9,Tram,Weekly,9,644,Cloudy,3,Weekday,Apr,Clean train
Route_9,Metro,Daily,10,387,Cloudy,2,Weekend,Jul,Helpful staff
Route_6,Tram,Monthly,14,262,Rainy,1,Weekday,Feb,Clean train
Route_8,Bus,Daily,5,305,Cloudy,4,Weekday,Feb,Ticket issue
Route_10,Tram,Single,10,59,Sunny,1,Weekend,Mar,Good service
Route_6,Bus,Single,8,596,Cloudy,4,Weekday,Feb,Noisy ride
Route_7,Bus,Monthly,8,717,Sunny,5,Weekday,Aug,Clean train
Route_8,Metro,Daily,6,413,Rainy,2,Weekend,Jan,Helpful staff
Route_5,Bus,Monthly,15,391,Rainy,5,Weekend,Aug,Ticket issue
Route_8,Bus,Single,23,350,Cloudy,3,Weekday,May,Good service
Route_8,Tram,Monthly,17,522,Sunny,1,Weekend,May,Crowded station
Route_7,Tram,Daily,12,86,Rainy,3,Weekend,Apr,Crowded station
Route_9,Tram,Monthly,23,436,Cloudy,1,Weekday,Aug,Good service
Route_1,Metro,Single,16,531,Cloudy,3,Weekday,Aug,Ticket issue
Route_1,Tram,Daily,18,407,Cloudy,5,Weekday,Aug,Helpful staff
Route_9,Metro,Weekly,21,546,Sunny,5,Weekday,Jul,Good service
Route_3,Metro,Single,5,524,Rainy,4,Weekday,Feb,Noisy ride
Route_6,Metro,Daily,16,388,Sunny,2,Weekend,Jan,Noisy ride
Route_4,Bus,Daily,19,635,Cloudy,1,Weekday,Apr,Crowded station
Route_5,Metro,Monthly,19,873,Sunny,4,Weekday,Aug,Clean train
Route_2,Metro,Daily,8,746,Cloudy,3,Weekday,Aug,Helpful staff
Route_8,Tram,Monthly,17,507,Rainy,2,Weekday,Mar,Crowded station
Route_10,Metro,Monthly,12,424,Rainy,3,Weekend,Apr,Clean train
Route_5,Tram,Single,5,77,Sunny,1,Weekend,Aug,Clean train
Route_3,Metro,Weekly,17,792,Rainy,5,Weekend,Apr,Delay problem
Route_6,Tram,Monthly,7,460,Sunny,4,Weekend,Feb,Noisy ride
Route_4,Bus,Daily,10,187,Rainy,2,Weekend,Mar,Ticket issue
Route_7,Metro,Weekly,14,608,Sunny,5,Weekday,Apr,Late bus
Route_2,Tram,Daily,10,219,Cloudy,5,Weekday,Jan,Ticket issue
Route_6,Metro,Weekly,15,455,Rainy,1,Weekend,Jan,Late bus
Route_8,Bus,Daily,13,357,Rainy,5,Weekday,May,Good service
Route_3,Metro,Daily,6,402,Sunny,2,Weekend,Mar,Noisy ride
Route_7,Tram,Daily,11,42,Rainy,4,Weekend,Mar,Clean train
