Age,Income,SpendingScore,NumPurchases,CreditScore,Gender,City,IsSubscribed,MaritalStatus,YearsWithCompany,HasCreditCard,SatisfactionScore,Target
42,59246.43,34.09,2,779.37,Male,CityB,0,Married,30,1,6.26,186.09
66,56415.78,78.7,4,747.86,Female,CityB,1,Single,32,0,9.9,213.17
44,46386.55,71.06,2,670.86,Male,CityC,0,Married,6,0,6.42,171.1
59,51348.43,79.07,2,719.47,Male,CityA,1,Divorced,7,1,8.07,189.4
45,71330.87,52.21,3,741.31,Female,CityB,1,Married,8,0,7.54,177.51
33,67513.76,44.58,2,704.3,Male,CityB,0,Single,1,1,7.31,181.51
32,45336.67,15.6,2,670.64,Female,CityB,1,Married,16,1,7.45,157.13
64,61489.98,33.49,2,673.39,Female,CityA,0,Married,36,0,5.09,168.55
68,71270.81,43.97,5,719.27,Male,CityC,1,Divorced,16,0,5.27,196.15
61,34958.92,9.77,4,720.65,Female,CityB,0,Single,37,0,5.21,138.83
69,68150.4,22.84,4,685.35,Male,CityC,0,Married,34,1,1.3,151.86
20,50060.64,60.22,4,569.04,Male,CityC,0,Divorced,38,1,3.17,162.53
54,68558.98,73.83,4,635.47,Male,CityA,1,Married,29,1,2.39,188.27
68,48551.11,99.84,4,730.98,Female,CityA,0,Single,5,0,8.98,194.6
24,32926.77,93.38,0,593.46,Male,CityA,0,Married,3,0,3.47,135.26
38,35586.86,64.61,1,759.21,Female,CityA,0,Married,36,0,2.25,163.44
26,60721.27,42.7,4,751.81,Female,CityA,1,Married,34,0,2.08,171.31
56,63895.84,63.98,1,702.05,Female,CityA,0,Married,8,0,7.3,151.22
35,46435.25,78.78,4,729.9,Male,CityB,1,Single,5,0,1.05,182.86
21,69578.89,12.72,1,726.44,Female,CityC,1,Divorced,12,1,5.24,147.47
42,35077.2,41.58,2,694.16,Female,CityA,1,Divorced,21,1,2.07,167.3
31,59008.8,84.14,2,631.31,Male,CityB,0,Married,27,1,8.65,161.18
67,41834.76,39.0,1,748.36,Male,CityC,0,Single,29,0,9.63,153.45
26,50222.46,57.62,4,770.36,Female,CityA,1,Single,35,1,9.63,190.76
43,60710.98,59.19,7,639.57,Female,CityA,0,Single,1,1,4.98,171.04
19,47093.8,19.26,3,629.44,Male,CityB,0,Single,35,1,6.8,126.72
37,54231.67,36.86,4,693.16,Female,CityC,1,Single,7,0,6.4,147.68
45,75094.39,34.12,5,668.69,Female,CityA,1,Single,8,0,4.15,171.0
64,51346.62,3.59,3,707.25,Female,CityC,0,Married,0,1,5.0,130.26
24,72535.38,3.39,2,760.4,Female,CityB,1,Divorced,12,0,1.58,149.8
61,43054.4,83.34,3,587.72,Male,CityA,0,Divorced,14,0,8.16,166.64
25,67947.06,28.03,2,779.06,Female,CityC,1,Married,31,0,3.17,173.09
64,81623.53,52.29,2,679.67,Male,CityB,0,Divorced,33,0,5.14,198.57
52,22925.33,30.57,4,725.59,Female,CityB,0,Single,30,1,5.33,136.39
31,48046.57,94.13,1,730.94,Male,CityA,1,Single,13,0,6.05,195.93
34,68656.08,26.67,5,736.77,Female,CityC,0,Divorced,13,1,8.36,147.72
53,56954.32,43.54,2,703.1,Male,CityA,0,Single,28,1,7.23,175.01
67,65567.19,87.4,3,714.78,Female,CityA,1,Single,18,0,6.97,221.19
57,50940.22,84.35,6,714.45,Male,CityC,0,Divorced,26,0,5.74,187.43
21,61298.85,19.42,3,668.49,Female,CityC,0,Married,8,0,1.86,133.67
19,57664.84,80.46,3,612.1,Female,CityC,0,Divorced,36,1,4.62,164.34
23,77516.73,46.36,7,639.04,Male,CityB,1,Divorced,36,1,9.62,199.84
59,63816.31,48.81,3,694.79,Male,CityB,1,Divorced,27,1,9.96,170.33
21,65064.04,14.21,1,660.66,Male,CityC,1,Divorced,23,1,7.57,152.26
46,53821.85,8.98,0,660.78,Male,CityB,1,Married,27,1,3.05,144.83
35,52685.91,73.07,3,789.96,Male,CityA,1,Married,35,1,1.92,203.16
43,53511.63,50.15,1,742.94,Female,CityC,0,Single,17,1,4.73,168.24
61,65916.78,44.25,2,687.4,Male,CityA,0,Single,24,0,8.71,173.93
51,53685.23,73.22,1,733.6,Male,CityC,0,Divorced,34,1,7.5,188.79
27,64346.62,76.79,3,678.99,Female,CityA,1,Single,3,1,8.96,167.53
53,91131.01,16.73,1,705.54,Male,CityC,0,Married,13,1,6.54,178.41
31,73066.87,61.41,2,722.08,Male,CityA,1,Single,38,1,2.17,193.0
48,55109.65,14.4,4,679.12,Male,CityC,0,Single,25,0,2.03,123.02
65,78018.21,75.39,3,665.74,Female,CityC,1,Single,7,1,1.43,187.6
32,53878.87,66.04,4,761.2,Male,CityB,0,Divorced,23,1,6.1,180.6
25,29428.13,95.7,2,730.71,Female,CityA,0,Single,15,0,3.19,153.28
31,44878.71,7.83,2,587.27,Female,CityB,1,Married,19,0,7.61,134.07
40,31938.12,6.65,3,666.59,Male,CityA,0,Married,14,1,7.18,116.57
57,54727.3,28.94,1,660.94,Female,CityB,0,Married,6,1,3.86,123.7
38,60276.28,26.91,2,668.94,Male,CityC,1,Married,16,1,2.59,142.93
33,85146.56,25.45,4,743.12,Male,CityB,0,Single,21,1,1.92,163.57
62,64903.91,90.72,6,700.96,Male,CityB,0,Divorced,21,1,7.64,213.57
35,56713.49,25.71,4,630.52,Male,CityC,1,Married,11,1,5.05,149.06
64,72441.08,27.92,1,680.84,Male,CityB,1,Married,17,0,3.91,175.17
41,26832.97,76.18,4,727.09,Female,CityC,1,Divorced,14,0,8.71,185.42
43,63534.22,45.52,4,689.02,Female,CityA,1,Divorced,36,1,6.34,174.66
42,71562.98,77.89,1,667.77,Female,CityB,1,Married,15,1,5.66,191.33
62,37821.21,7.47,5,716.56,Female,CityC,0,Married,4,1,7.69,146.97
58,77156.31,49.27,2,780.91,Male,CityC,1,Divorced,1,0,8.34,207.3
46,65077.45,4.33,1,723.07,Male,CityB,1,Married,27,1,7.17,164.76
32,53770.68,7.2,4,765.05,Female,CityA,0,Married,40,0,4.96,142.16
62,69491.73,90.74,3,671.12,Male,CityB,0,Single,26,0,4.41,188.11
18,94060.39,14.79,3,699.58,Female,CityC,0,Divorced,30,1,7.94,148.14
42,62727.99,53.71,6,698.57,Female,CityA,0,Single,40,0,5.66,189.1
24,63723.31,41.7,4,705.93,Female,CityB,0,Single,35,1,7.34,187.22
26,53109.59,35.39,9,722.03,Female,CityC,1,Divorced,0,0,9.01,146.36
41,47252.33,90.08,3,654.05,Male,CityB,0,Single,28,1,9.24,201.81
18,72455.04,3.16,2,732.37,Male,CityA,1,Married,0,1,3.5,142.42
61,47158.74,66.72,3,618.61,Female,CityA,0,Single,7,0,2.69,141.21
25,61073.49,96.38,2,633.21,Female,CityA,1,Divorced,15,0,3.35,180.31
41,52835.14,56.46,5,806.78,Female,CityA,0,Married,27,0,7.76,176.2
28,67184.7,93.75,4,674.49,Female,CityA,1,Married,21,1,4.33,197.88
68,65004.93,6.17,3,736.48,Female,CityB,1,Married,17,0,2.56,159.89
34,75563.1,42.46,5,784.91,Male,CityA,1,Married,21,0,1.89,185.28
25,52349.75,26.76,3,584.28,Female,CityA,1,Single,40,1,3.95,140.19
52,55951.88,73.35,1,756.31,Female,CityC,1,Single,11,1,2.23,170.11
52,45318.54,98.15,3,732.45,Male,CityA,1,Married,18,0,2.41,195.42
50,53335.6,26.4,7,782.02,Male,CityC,1,Divorced,24,0,7.15,178.34
22,65659.51,65.76,3,640.92,Male,CityC,1,Married,4,0,1.18,158.25
59,71354.83,20.61,2,772.56,Male,CityC,1,Single,33,1,2.06,180.09
56,46167.52,56.97,5,663.03,Male,CityB,1,Married,38,1,8.6,188.65
58,73044.09,46.93,2,752.74,Male,CityB,0,Single,9,0,8.6,189.91
45,80334.57,97.23,4,698.2,Male,CityC,1,Married,6,1,3.96,199.17
24,66201.52,61.24,1,738.54,Male,CityB,1,Divorced,36,0,1.79,176.2
26,88151.94,35.6,3,702.44,Male,CityA,0,Married,14,0,7.34,161.28
25,48393.16,12.3,8,608.03,Female,CityB,1,Divorced,23,1,4.24,155.03
29,41330.18,15.97,3,543.97,Male,CityA,1,Divorced,25,0,1.41,116.0
51,33319.2,23.31,5,710.5,Female,CityA,0,Married,25,0,2.42,154.55
50,82440.66,25.85,6,686.81,Female,CityB,0,Divorced,25,1,2.23,168.42
65,69815.48,85.21,5,719.91,Female,CityB,1,Divorced,9,0,6.3,232.92
40,59166.23,56.56,4,687.39,Female,CityC,0,Single,16,0,9.08,166.16
41,64199.53,52.82,3,800.9,Female,CityB,1,Single,13,1,8.14,202.43
54,43117.66,12.36,4,711.53,Female,CityB,1,Divorced,1,0,5.92,150.53
52,96686.28,86.15,0,677.65,Female,CityB,1,Married,12,0,4.8,195.25
61,61938.32,72.56,8,716.87,Female,CityA,0,Divorced,26,1,6.57,204.61
57,61640.92,7.7,2,678.57,Male,CityA,1,Married,8,1,4.99,152.36
39,70886.5,71.08,4,704.65,Female,CityA,1,Single,6,1,3.21,177.25
44,67215.14,54.81,0,639.13,Female,CityC,0,Married,9,0,7.11,161.13
52,63358.26,9.09,1,699.57,Female,CityC,1,Divorced,8,1,8.86,167.14
18,48142.88,46.37,7,676.11,Female,CityC,1,Divorced,21,0,4.36,168.6
52,67072.03,48.98,4,643.86,Male,CityA,1,Divorced,22,1,8.57,179.96
54,88230.37,17.41,5,798.79,Female,CityB,1,Divorced,6,0,4.88,176.9
64,80181.3,94.62,1,645.81,Male,CityC,1,Divorced,8,0,4.61,195.53
31,83897.8,85.15,5,700.35,Male,CityC,1,Married,26,1,1.25,210.48
20,52331.76,67.23,1,659.86,Female,CityA,0,Divorced,23,0,7.26,152.25
18,45155.93,46.77,2,714.85,Female,CityC,1,Single,28,0,8.27,171.31
22,58113.2,41.76,1,636.28,Male,CityB,1,Divorced,16,1,6.97,138.48
43,60835.87,65.45,4,742.02,Female,CityA,0,Married,19,0,2.36,178.41
31,76412.87,55.0,3,801.81,Female,CityA,1,Divorced,6,0,1.93,185.57
56,34613.03,7.17,1,658.02,Male,CityB,1,Divorced,39,0,6.16,167.59
44,82943.25,51.74,3,760.85,Male,CityB,0,Married,6,1,4.61,184.1
26,57629.88,80.83,2,680.91,Female,CityB,0,Divorced,27,1,4.86,168.33
32,53596.78,46.46,2,775.29,Female,CityC,0,Married,18,1,9.71,154.23
32,44818.43,6.14,1,809.42,Female,CityB,0,Divorced,19,1,7.52,147.7
43,35177.15,78.84,3,688.31,Male,CityA,0,Single,38,1,4.71,169.89
59,72347.56,20.94,2,623.99,Female,CityB,0,Divorced,39,1,1.17,155.92
30,61099.77,26.6,3,747.4,Male,CityA,0,Married,6,1,1.31,132.01
68,40650.59,17.31,3,711.22,Male,CityA,1,Single,5,1,7.16,151.59
49,40573.82,33.69,5,725.09,Female,CityC,1,Married,24,0,8.54,156.42
56,54963.23,75.92,6,683.01,Male,CityB,1,Divorced,40,0,7.37,196.82
66,85035.32,52.42,3,655.78,Female,CityC,0,Single,12,0,4.65,163.53
69,56106.13,21.28,5,758.02,Female,CityB,1,Married,38,0,1.28,185.48
49,37452.86,87.91,2,715.99,Male,CityB,0,Single,39,1,9.71,183.63
21,56313.85,88.08,2,627.82,Female,CityB,1,Single,21,0,9.88,199.32
47,55909.15,87.19,4,734.34,Male,CityB,1,Married,16,0,5.94,188.79
54,19546.7,24.64,3,724.31,Male,CityB,1,Single,21,0,1.64,161.46
40,59185.58,45.67,2,683.74,Female,CityA,1,Married,33,0,5.87,155.55
56,56535.98,98.51,1,780.99,Female,CityA,0,Single,7,0,9.03,200.23
62,70443.1,77.43,5,669.09,Female,CityB,0,Single,17,1,7.12,192.57
32,87734.34,3.69,3,691.55,Female,CityA,1,Single,23,1,7.48,154.81
60,76898.48,7.46,4,738.43,Male,CityC,0,Divorced,1,0,1.76,140.53
46,55966.67,46.93,1,703.84,Male,CityC,0,Divorced,1,0,1.96,139.44
53,43402.11,91.01,3,630.78,Male,CityC,1,Married,26,0,2.15,181.98
30,98600.4,54.33,4,709.19,Female,CityB,0,Single,13,0,9.14,179.8
49,60888.28,50.28,2,679.28,Male,CityB,0,Married,38,1,5.73,176.93
24,60208.94,11.44,2,742.85,Male,CityA,0,Divorced,11,0,8.12,144.25
68,59638.12,66.02,2,707.56,Female,CityA,0,Divorced,31,1,2.04,185.36
39,62971.27,82.39,4,704.73,Female,CityA,1,Divorced,27,0,9.35,196.43
45,57834.59,38.66,5,647.59,Female,CityC,1,Divorced,27,1,8.39,172.69
19,51395.07,77.79,2,688.5,Male,CityC,0,Married,24,1,3.02,175.6
59,51797.12,96.48,2,748.51,Female,CityC,1,Single,3,1,8.87,190.87
62,59508.7,21.17,4,661.17,Male,CityC,1,Married,25,0,3.37,148.37
23,51848.63,52.81,0,698.37,Male,CityA,1,Single,35,0,2.85,155.96
45,49307.31,29.43,3,653.18,Male,CityB,0,Divorced,2,1,3.38,114.19
45,61596.45,79.49,0,640.81,Male,CityB,0,Single,0,0,9.19,183.23
61,56175.34,58.18,2,695.76,Male,CityC,1,Divorced,16,0,9.24,182.71
61,82559.89,63.82,2,708.69,Female,CityB,1,Married,6,1,3.96,184.55
37,20235.45,79.99,1,799.69,Male,CityB,0,Single,4,0,7.35,167.31
47,76372.6,40.2,4,677.23,Female,CityB,1,Married,18,1,7.08,174.01
28,78691.28,91.59,5,697.49,Male,CityC,0,Divorced,38,0,8.26,206.65
45,28899.15,53.77,1,637.5,Male,CityA,1,Married,33,0,3.67,146.91
42,54859.69,16.64,4,730.61,Female,CityA,0,Divorced,34,1,5.59,140.04
56,54428.39,69.89,0,719.9,Male,CityB,0,Divorced,15,1,7.01,172.98
50,38887.32,79.53,6,774.42,Male,CityA,0,Divorced,39,1,1.24,195.89
18,48332.75,32.36,5,755.58,Female,CityA,0,Married,38,1,4.39,159.88
44,43341.36,85.86,1,717.57,Female,CityC,1,Married,26,0,7.26,198.28
69,86284.06,90.71,5,676.5,Male,CityC,0,Single,40,0,3.27,202.43
30,74035.18,28.41,1,710.23,Male,CityB,1,Single,37,0,9.62,173.45
58,79073.33,98.37,4,694.45,Male,CityB,0,Married,24,1,1.27,185.16
20,70825.08,14.93,2,747.67,Female,CityB,0,Married,25,0,9.62,163.05
56,43064.22,21.0,1,741.31,Male,CityC,1,Married,13,0,2.95,144.19
23,52132.2,19.24,3,685.18,Female,CityA,1,Married,13,0,1.44,132.93
25,67340.62,89.5,3,626.9,Female,CityC,1,Divorced,13,1,3.63,185.06
44,41668.08,65.77,6,766.67,Male,CityC,0,Divorced,24,1,8.08,179.02
26,70694.98,16.06,0,729.09,Female,CityA,0,Divorced,35,0,7.77,167.92
54,56395.12,44.59,3,684.03,Male,CityA,1,Married,3,0,2.88,160.71
50,54377.69,61.91,5,727.14,Male,CityB,0,Divorced,14,1,2.77,164.74
68,70664.4,9.26,1,703.74,Female,CityA,1,Divorced,31,1,6.78,156.28
59,66663.95,88.36,3,765.93,Female,CityA,0,Single,17,1,5.12,203.18
61,54585.51,80.56,4,603.51,Female,CityA,0,Single,13,1,8.13,179.81
41,77389.95,51.02,2,680.14,Female,CityA,0,Divorced,0,0,1.22,154.27
32,43784.05,96.75,3,779.95,Female,CityB,1,Divorced,19,1,6.49,199.97
49,69239.03,42.36,7,728.16,Female,CityB,0,Divorced,9,0,7.58,171.68
49,68896.52,98.43,1,788.63,Male,CityA,1,Married,9,1,9.94,212.09
41,55356.8,67.12,3,638.91,Male,CityA,1,Single,23,0,7.11,174.56
58,64892.0,63.83,3,753.61,Male,CityB,0,Single,33,0,3.09,198.3
69,41233.3,17.43,1,750.61,Female,CityB,1,Single,27,1,1.97,151.78
66,73860.41,88.31,1,615.91,Female,CityA,1,Divorced,26,0,6.77,194.82
66,57226.47,43.32,2,685.22,Female,CityC,0,Married,39,0,5.71,186.7
69,52159.15,17.06,2,694.67,Male,CityB,1,Single,0,0,9.09,169.06
29,75735.14,2.25,6,619.02,Male,CityB,1,Single,32,1,7.54,165.04
56,49434.84,56.42,1,686.27,Female,CityB,0,Married,3,1,5.59,151.74
19,38873.08,53.21,3,743.66,Female,CityA,0,Divorced,6,1,4.63,140.57
20,36650.56,72.22,3,680.45,Female,CityA,0,Divorced,8,0,4.64,147.32
66,69090.15,89.14,4,712.11,Female,CityB,1,Single,15,0,3.04,192.96
54,40793.56,8.86,2,712.47,Male,CityA,1,Single,4,0,1.16,135.43
66,86321.91,73.42,3,699.39,Male,CityA,0,Married,33,0,6.17,220.97
34,28771.06,19.55,4,664.74,Male,CityB,1,Single,22,1,2.91,141.28
66,85446.85,85.96,2,732.94,Female,CityA,0,Married,24,0,2.87,189.51
19,63165.26,82.09,3,620.65,Male,CityC,0,Single,12,0,2.13,161.2
19,58549.3,54.54,2,700.43,Female,CityA,0,Single,23,0,2.71,155.15
45,51826.21,71.31,4,769.27,Female,CityA,1,Single,10,1,1.29,182.04
40,65987.04,32.12,1,677.63,Female,CityB,1,Divorced,16,0,7.07,154.76
54,59435.48,47.65,3,663.63,Male,CityB,0,Married,36,1,4.61,169.36
49,76549.53,82.34,5,736.28,Male,CityC,0,Married,12,1,6.05,204.7
50,61713.41,46.47,2,708.17,Female,CityA,1,Divorced,26,0,6.73,169.67
18,62254.53,36.42,4,737.27,Male,CityC,0,Divorced,19,0,9.75,160.97
36,54545.82,49.93,2,701.92,Female,CityC,1,Divorced,32,0,1.61,163.57
19,59145.82,83.0,1,580.59,Female,CityB,0,Married,31,0,4.76,171.84
61,64617.03,34.19,3,759.0,Female,CityA,0,Single,7,1,3.21,171.0
43,34347.47,18.2,4,803.5,Male,CityB,1,Divorced,28,1,5.29,142.95
49,39777.22,71.49,7,764.2,Male,CityC,1,Divorced,39,1,9.28,218.79
23,71148.96,82.77,4,523.06,Female,CityC,1,Divorced,18,1,7.52,190.0
49,62562.98,10.96,6,722.55,Male,CityB,1,Single,5,1,6.96,173.28
21,57240.25,24.75,4,676.66,Male,CityB,1,Single,38,1,4.97,156.6
28,60276.51,15.06,1,645.79,Male,CityB,0,Divorced,40,1,7.04,144.43
34,65213.73,35.45,1,706.14,Male,CityB,0,Single,20,1,1.29,130.05
55,51903.6,45.58,7,692.55,Female,CityB,1,Divorced,21,1,6.28,160.61
41,48325.43,75.13,4,725.43,Male,CityC,1,Single,9,1,5.98,177.42
22,62937.68,65.46,3,702.83,Female,CityB,0,Married,9,0,4.12,160.59
69,45324.41,62.47,3,643.96,Female,CityA,0,Married,28,0,2.81,166.38
51,66123.79,35.89,3,671.17,Male,CityC,1,Single,15,0,8.27,181.68
23,34461.25,84.3,3,663.1,Female,CityC,1,Married,0,1,1.48,182.16
39,75437.33,47.66,1,614.18,Female,CityA,0,Married,16,0,1.63,143.97
28,67088.96,97.93,1,631.42,Male,CityA,1,Married,29,1,4.96,179.92
65,63840.45,63.78,3,689.45,Female,CityC,0,Divorced,25,1,3.27,182.76
33,74740.36,13.5,0,771.19,Female,CityB,0,Single,18,0,7.71,157.78
50,84982.12,67.94,3,673.22,Male,CityC,1,Single,20,1,6.71,192.46
26,75215.55,33.19,3,662.13,Male,CityC,0,Single,16,0,7.95,167.22
23,32386.89,68.95,0,640.94,Male,CityA,0,Married,39,1,3.92,140.88
33,40806.35,7.89,2,701.53,Male,CityC,0,Divorced,20,1,7.66,132.44
46,50627.72,18.31,1,758.96,Male,CityB,1,Single,40,0,8.76,172.98
20,60391.37,85.72,2,800.13,Female,CityA,0,Married,39,0,4.11,181.31
37,67764.89,23.49,4,714.27,Female,CityC,1,Divorced,18,0,4.06,146.18
53,49113.84,83.87,4,707.0,Male,CityC,0,Divorced,6,0,9.1,184.48
36,62801.5,28.65,1,672.83,Male,CityB,0,Single,16,0,1.45,150.4
43,48669.26,64.65,3,681.17,Female,CityC,0,Single,0,0,4.15,161.59
20,50827.23,69.72,3,731.46,Male,CityC,0,Married,36,1,2.07,177.84
36,38900.08,51.75,2,684.26,Male,CityC,0,Single,5,1,1.26,125.58
37,46151.5,31.23,2,691.89,Female,CityC,1,Married,25,1,2.02,151.66
49,39724.73,22.05,3,698.73,Female,CityB,1,Divorced,1,1,4.88,127.48
24,45361.9,4.29,2,670.46,Female,CityC,0,Divorced,31,0,7.18,134.62
69,75804.63,31.09,3,696.25,Male,CityC,1,Divorced,4,1,3.6,182.86
58,45759.02,65.66,2,599.03,Female,CityC,1,Divorced,36,1,8.65,196.51
50,99485.73,93.89,1,727.44,Male,CityA,0,Single,30,0,4.94,231.62
57,67399.77,87.25,0,817.59,Female,CityB,1,Single,11,1,9.71,221.0
56,62772.54,76.84,3,672.4,Male,CityA,1,Married,34,0,9.59,210.78
35,47124.63,79.06,4,718.69,Male,CityA,1,Married,29,0,7.96,202.63
57,70504.65,66.83,4,742.58,Male,CityB,1,Married,5,0,9.39,206.11
18,51365.43,26.77,3,764.01,Female,CityA,0,Married,14,1,7.36,140.52
28,61830.15,90.81,3,686.78,Female,CityA,1,Married,14,0,9.06,179.36
45,98401.27,67.4,6,609.83,Female,CityA,0,Divorced,15,1,3.13,191.97
42,58559.1,56.48,4,713.36,Male,CityB,0,Divorced,19,1,4.11,188.11
67,77239.1,11.99,4,706.43,Female,CityC,1,Divorced,12,1,7.78,184.16
40,49452.35,45.26,5,682.72,Female,CityB,0,Married,30,0,4.82,143.38
48,59475.17,46.58,1,693.32,Male,CityB,1,Divorced,33,0,8.54,177.15
47,86562.01,86.59,4,707.18,Male,CityB,0,Divorced,28,0,8.9,209.23
59,50595.49,55.12,2,718.09,Female,CityA,1,Divorced,2,1,3.7,146.21
52,87186.73,38.66,4,715.99,Female,CityC,1,Divorced,8,1,8.41,175.17
24,70616.28,97.7,5,689.12,Female,CityB,0,Single,10,0,2.39,179.68
33,51563.0,11.96,2,719.21,Male,CityB,1,Married,10,1,4.01,143.22
43,69486.12,42.83,4,685.75,Female,CityC,1,Married,24,0,5.66,169.09
65,74588.32,5.16,1,732.1,Male,CityC,1,Single,21,0,3.04,146.93
69,69327.15,74.25,2,668.63,Male,CityC,1,Divorced,8,1,6.21,201.7
66,36446.63,91.89,4,703.65,Female,CityA,0,Divorced,19,1,6.21,180.43
19,49092.94,28.72,1,618.81,Female,CityC,0,Divorced,20,0,2.86,121.81
18,56287.22,85.98,1,681.5,Male,CityA,0,Married,9,1,8.16,162.04
65,58883.5,29.93,0,728.37,Male,CityB,1,Married,21,0,6.68,162.89
29,69310.08,91.17,3,648.31,Female,CityA,0,Married,28,0,3.86,194.52
22,62665.52,75.64,3,683.99,Female,CityC,1,Married,8,1,3.09,161.53
54,39969.83,80.69,4,579.75,Female,CityA,1,Married,4,0,8.91,174.12
49,65702.97,2.78,2,631.6,Male,CityC,1,Single,39,1,8.52,162.73
26,69158.79,96.32,3,644.68,Male,CityA,0,Married,10,0,3.07,152.67
58,68396.86,72.94,6,705.09,Female,CityB,0,Divorced,0,1,1.32,175.63
52,76211.71,31.17,2,716.67,Male,CityA,0,Married,0,1,8.24,146.0
36,72508.83,83.11,2,697.2,Male,CityB,0,Single,38,0,6.54,200.76
65,66887.7,28.87,2,680.87,Female,CityC,1,Divorced,4,1,1.91,143.42
33,58947.51,87.4,4,681.04,Male,CityB,0,Single,21,1,6.29,187.48
20,35085.59,12.15,1,735.8,Female,CityC,0,Divorced,25,0,5.07,123.54
37,66444.27,70.66,4,710.64,Female,CityC,0,Married,5,1,7.97,170.41
41,63115.32,54.53,3,683.3,Male,CityB,0,Single,31,0,2.88,168.82
50,64073.68,10.56,3,764.66,Male,CityB,1,Divorced,10,1,5.08,145.22
41,40848.77,24.95,5,797.5,Female,CityA,0,Married,9,0,2.41,143.58
69,43784.15,2.23,3,637.71,Male,CityA,0,Divorced,38,0,9.62,159.54
28,75797.29,47.41,1,726.13,Female,CityB,0,Single,33,0,8.01,187.56
66,59406.67,30.83,1,854.49,Male,CityB,1,Single,30,0,7.63,188.0
25,70222.51,60.24,3,714.01,Male,CityB,0,Single,11,1,7.21,166.89
53,60424.78,30.43,5,705.77,Male,CityB,0,Single,15,0,4.81,144.11
55,60446.34,30.69,4,697.21,Female,CityC,0,Married,37,1,9.31,169.4
57,74074.26,74.58,2,724.51,Male,CityB,1,Divorced,2,0,1.66,166.6
37,52259.33,5.77,7,737.74,Female,CityB,1,Married,1,1,8.23,159.25
52,61441.81,90.39,0,637.76,Female,CityB,0,Single,4,0,2.94,171.59
65,53065.87,85.37,4,698.68,Female,CityB,0,Divorced,10,1,3.92,174.88
42,53482.56,67.11,2,586.53,Male,CityC,1,Single,24,1,5.67,158.31
52,55362.42,59.73,3,689.53,Female,CityA,1,Married,34,0,8.04,194.26
42,63332.01,89.34,1,654.87,Female,CityA,1,Married,34,0,8.55,191.84
46,52818.77,19.35,3,716.96,Male,CityA,1,Married,21,0,6.25,167.3
35,78836.34,8.82,1,617.18,Female,CityA,1,Divorced,36,1,4.63,174.66
63,46580.89,24.71,3,674.38,Female,CityA,0,Divorced,21,1,9.52,148.68
35,57196.93,79.66,6,748.33,Male,CityC,0,Single,10,1,3.22,169.78
19,53404.03,4.43,3,666.18,Female,CityA,0,Divorced,31,1,8.23,124.6
52,81704.67,58.7,2,604.75,Male,CityC,0,Divorced,34,0,6.51,181.76
33,62948.32,99.55,1,712.88,Female,CityC,1,Married,30,0,4.39,199.0
